Estep = 0.000100; Niter = 21; Ntrial = 10000000
Energy, # of states, average Ev, average coupling
0.0879743,438.183924,0.0880262,0.00315622
0.0880743,447.502676,0.0881254,0.00311067
0.0881743,453.876886,0.0882233,0.00355313
0.0882743,440.808127,0.0883280,0.00356314
0.0883743,436.974775,0.0884223,0.00314667
0.0884743,467.432050,0.0885260,0.00350427
0.0885743,450.696027,0.0886270,0.00332539
0.0886743,467.569370,0.0887251,0.00351794
0.0887743,474.354249,0.0888222,0.00320328
0.0888743,511.457816,0.0889238,0.00339804
0.0889743,532.545573,0.0890249,0.00363931
0.0890743,562.777481,0.0891228,0.00371748
0.0891743,531.642322,0.0892253,0.00356476
0.0892743,506.295937,0.0893245,0.00363173
0.0893743,499.199840,0.0894240,0.00334708
0.0894743,505.755684,0.0895221,0.00358203
0.0895743,517.282691,0.0896250,0.00331143
0.0896743,518.411401,0.0897245,0.00331370
0.0897743,498.604151,0.0898250,0.00319348
0.0898743,548.557172,0.0899231,0.00326244
0.0899743,572.326157,0.0900233,0.00350733
0.0900743,551.068243,0.0901244,0.00321219
0.0901743,543.196712,0.0902238,0.00326991
0.0902743,589.443295,0.0903264,0.00350024
0.0903743,577.528329,0.0904231,0.00370670
0.0904743,645.447581,0.0905254,0.00357430
0.0905743,548.368611,0.0906220,0.00368320
0.0906743,611.822614,0.0907236,0.00358545
0.0907743,592.775187,0.0908257,0.00365057
0.0908743,627.676076,0.0909238,0.00364677
0.0909743,638.359373,0.0910255,0.00360702
0.0910743,641.648265,0.0911253,0.00352380
0.0911743,671.244104,0.0912229,0.00361034
0.0912743,707.400420,0.0913252,0.00364906
0.0913743,697.193751,0.0914234,0.00368799
0.0914743,722.042972,0.0915224,0.00347414
0.0915743,668.232899,0.0916245,0.00347803
0.0916743,696.651075,0.0917223,0.00364896
0.0917743,629.018070,0.0918232,0.00364210
0.0918743,666.955745,0.0919224,0.00332320
0.0919743,651.670092,0.0920244,0.00363929
0.0920743,650.079182,0.0921248,0.00344116
0.0921743,713.295134,0.0922227,0.00354370
0.0922743,705.084841,0.0923254,0.00356016
0.0923743,749.776957,0.0924245,0.00367025
0.0924743,793.018521,0.0925246,0.00356333
0.0925743,776.519591,0.0926238,0.00368523
0.0926743,785.535104,0.0927245,0.00388070
0.0927743,763.379946,0.0928244,0.00371412
0.0928743,788.010424,0.0929231,0.00371637
0.0929743,789.254018,0.0930261,0.00344327
0.0930743,799.417382,0.0931251,0.00375239
0.0931743,833.043395,0.0932222,0.00379020
0.0932743,840.123279,0.0933245,0.00339491
0.0933743,909.664220,0.0934249,0.00390953
0.0934743,843.534501,0.0935221,0.00381018
0.0935743,870.318630,0.0936233,0.00409522
0.0936743,943.102953,0.0937224,0.00354934
0.0937743,857.204007,0.0938246,0.00355420
0.0938743,894.640112,0.0939273,0.00344476
0.0939743,884.966789,0.0940221,0.00340003
0.0940743,860.407604,0.0941233,0.00363927
0.0941743,855.274445,0.0942226,0.00360746
0.0942743,874.450189,0.0943246,0.00357427
0.0943743,956.126060,0.0944244,0.00379593
0.0944743,944.420163,0.0945221,0.00365054
0.0945743,955.069375,0.0946223,0.00383479
0.0946743,1019.490447,0.0947257,0.00373227
0.0947743,989.262565,0.0948215,0.00383056
0.0948743,952.202310,0.0949258,0.00381535
0.0949743,1024.027852,0.0950243,0.00359654
0.0950743,1018.152036,0.0951258,0.00379986
0.0951743,1009.366813,0.0952250,0.00389053
0.0952743,1079.013844,0.0953242,0.00385750
0.0953743,1074.247142,0.0954245,0.00375810
0.0954743,1141.264568,0.0955232,0.00394278
